kabupaten,kecamatan,x1_banjir,x2_angin,x3_gempa,x4_longsor,x5_kebakaran,latitude,longitude,cluster
kabupaten indramayu,kandanghaur,0.1196013289036544,0.0,0.0,0.0,0.0,-6.3546758,108.1062901,0
kabupaten indramayu,karangampel,0.0,0.0,0.0,0.0,0.0,-6.4635466,108.4402332,0
kabupaten indramayu,kedokan bunder,0.0033222591362126,0.0,0.0,0.0,0.0,-6.505193,108.419447,0
kabupaten indramayu,kertasemaya,0.0465116279069767,0.0925925925925925,0.0014409221902017,0.0,0.0,-6.5315027,108.353915,0
kabupaten indramayu,krangkeng,0.0232558139534883,0.0185185185185185,0.0,0.0,0.0,-6.4975981,108.4884825,0
kabupaten indramayu,kroya,0.0265780730897009,0.2222222222222222,0.0,0.0,0.0,-6.4949579,108.0629203,0
kabupaten indramayu,lelea,0.0066445182724252,0.0,0.0,0.0,0.0,-6.419885,108.2505027,0
kabupaten indramayu,lohbener,0.0166112956810631,0.0,0.0,0.0,0.0,-6.399684,108.2832652,0
kabupaten indramayu,losarang,0.0730897009966777,0.0,0.0,0.0,0.0,-6.382367,108.177964,0
kabupaten indramayu,pasekan,0.0099667774086378,0.0,0.0,0.0,0.0,-6.3033126,108.3288842,0
kabupaten indramayu,patrol,0.0365448504983388,0.0,0.0,0.0,0.0,-6.3149806,107.9943791,0
kabupaten indramayu,sindang,0.0664451827242525,0.0185185185185185,0.0,0.0,0.0,-6.3335548,108.3204114,0
kabupaten indramayu,sliyeg,0.0099667774086378,0.0,0.0,0.0,0.0,-6.4556927,108.3507808,0
kabupaten indramayu,sukagumiwang,0.0564784053156146,0.2222222222222222,0.0,0.0,0.0256410256410256,-6.5776571,108.318859,0
kabupaten indramayu,sukra,0.0166112956810631,0.0,0.0,0.0,0.0,-6.3056065,107.9336903,0
kabupaten indramayu,trisi,0.0365448504983388,0.1296296296296296,0.0,0.0115606936416184,0.0512820512820512,-6.476394,108.312126,0
kabupaten indramayu,tukdana,0.0398671096345514,0.0185185185185185,0.0014409221902017,0.0173410404624277,0.0,-6.5418031,108.2873057,0
kabupaten indramayu,widasari,0.0365448504983388,0.0,0.0,0.0,0.0,-6.4741209,108.2849138,0
kabupaten karawang,banyusari,0.0531561461794019,0.2222222222222222,0.0,0.0,0.0,-6.285391,107.538013,0
kabupaten karawang,batujaya,0.0930232558139534,0.1481481481481481,0.0,0.0057803468208092,0.0769230769230769,-6.0714758,107.1734618,0
kabupaten karawang,ciampel,0.0398671096345514,0.0925925925925925,0.0043227665706051,0.0520231213872832,0.0256410256410256,-6.460936,107.334672,0
kabupaten karawang,cibuaya,0.132890365448505,0.4444444444444444,0.0129682997118155,0.0057803468208092,0.0,-6.0559103,107.3546371,0
kabupaten karawang,cikampek,0.0398671096345514,0.0925925925925925,0.0,0.0,0.0,-6.4069025,107.4617922,0
